Comment,Footprint,Quantity,Designator

"100n","CAPC0402N","7","C1, C3, C4, C5, C7, C8, C9"
"10u","CAPC0603N","2","C2, C6"
"PRTR5V0U2X","SOT143B","1","D1"
"STM32L052","TSQFP50P1200X1200X160-64N","1","IC1"
"JAE-KX14-KxD","JAE-KX14-K2D","1","J1"
"JAE-AA01B-S040VA1","JAE-AA01B-S040VA1","1","J2"
"HEADER 1x16","HEADER 1x16 2.54MM","1","P1"
"IRLML6402","SOT23_N","1","Q1"
"4k7","RESC0402N","4","R1, R2, R3, R4"
"100R","RESC0402N","4","R5, R6, R7, R8"
"HEADER 1x3","HEADER 1x3 2.54MM","1","SWD"
"MCP1700T-3302E/MB","SOT-89-MB3_N","1","U1"
"USB","USB_MICRO_FCI","1","USB1"
